date,year,aircraft_type,category,manoeuvre,fit,mac,loc,fio,obstacle,enviro,weather,bird_strike,structural,mechanical,incapacitation,airshow,practice,air_race,demo,demo_prac,flypast,flypast_prac,photo_opp,race_practice,aero_comp,flight_test,military,civilian,formation_team,drone_show,pilot_error,pilot_killed,pilot_injured,crew_kill,crew_inj,pax_kill,pax_inj,spec_kill,spec_inj,pub_kill,pub_inj,para_killed,para_inj,fatalities,casualties,event_name,location,country,remarks,contributing_factor,man_factor,machine_factor,medium_factor,mission_factor,management_factor,continent
2025-09-20,2025,Pyrotechnics,Drone show,Fireworks / Pyro,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,,,,,,,0,5,Display fireworks,,China,Fireworks display incident: sparks into crowd; injuries reported. Placeholder record; update with verified counts and location.,Operational volume over populated area,0,0,0,0,1,Asia
2025-09-16,2025,XPENG Aeroht eVTOL,eVTOL,Practice,0,1,0,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,,,0,1,Airshow practice,,China,Two Xpeng eVTOLs collide during China air show practice (video link referenced). Casualties unconfirmed at this time.,Mid-air collision during rehearsal,0,0,0,1,0,
2025-08-28,2025,F-16,Fighter Jet,Split-S,0,0,1,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,0,Radom Airshow,Radom,Poland,F-16 crashed in Poland at Radom Airshow; Sunset show.,Sunset show,1,0,0,0,0,Europe
2025-08-14,2025,Extra 300,Sports Aero,Spiral dive,0,0,1,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,0,Durban Airshow,"Suncoast Beach, Durban",South Africa,Pilot crashed into sea off Durban’s Suncoast Beach during airshow. Source: News24 headline. Facts pending confirmation.,,1,0,1,0,0,
2025-07-27,2025,Eurofighter F-2000 Typhoon,Fast jet,Airshow,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Spain,https://www.instagram.com/reel/DMoeycJsNc3/?igsh=MWRhY3Q2eDl3bHkzbQ==,,0,0,1,0,0,
2025-06-14,2025,Eurofighter F-2000 Typhoon,Fast jet,Airshow,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Spain,,,0,0,1,0,0,
2025-06-13,2025,M-339,Fast jet,Airshow,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Spain,,,0,0,1,0,0,
2025-06-06,2025,Morane-Saulnier MS.733 Alcyon,Vintage,Airshow,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Morane-Saulnier MS.733 Alcyon,France,,,1,0,0,0,0,
2025-05-18,2025,RV-8,Sports Aero,Airshow,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Base Aérea de Campo dos Afonsos, Rio de Janeiro",Brazil,,,0,0,0,0,0,
2025-05-07,2025,F-18,Fast jet,Rehearsal,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Finland,https://airlive.net/military/2025/05/07/alert-a-finnish-f-a-18-hornet-fighter-jet-has-crashed-near-rovaniemi-airport/,,1,0,0,0,0,
2025-05-06,2025,M-339,Fast jet,Airshow,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Italy,https://x.com/vondmedia/status/1919771485951901858,,0,0,0,1,0,
2025-04-30,2025,F-4,Fast jet,Airshow,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Cyprus,Cyprus,https://x.com/theaviationist/status/1917713395882811840?s=46,,0,0,0,0,0,
2025-03-28,2025,Extra 300,Sports Aero,Airshow,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,Avalon Airshow ,Australia,https://youtu.be/5rS0156d2eI?feature=shared,,1,0,0,0,0,
2025-03-25,2025,Alpha Jet,Fast jet,Training,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,,Saint Dizier,France,https://x.com/ludovicbarbier5/status/1904551198637597024?s=48&t=jVni8R6jQN6zKnDPQGw5UA,,0,0,0,1,0,
2025-03-22,2025,Impala,Vintage,Airshow,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,South Africa,South Africa,https://x.com/danroodt/status/1903453448416150001?s=48&t=_ZTqNPw_h_PnQadq85iGgA,,1,0,0,0,0,
2025-02-16,2025,A-20G,Vintage,Airshow,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Laredo Intl. Airport, Laredo, Texas, USA.",USA,https://www.facebook.com/share/v/14xiZ8B7qN/?mibextid=wwXIfr,,0,1,0,0,0,
2024-12-20,2024,Drones,Drone Light Show,Display,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Spain,Spain,axarquiaplus.es/accidente-avioneta/,,0,0,0,0,0,
2024-12-15,2024,,Sports Aero,Display,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,China,China,https://www.instagram.com/reel/DDY74-tiwkS/?igsh=MW1wOGJnZndlNTkxYw==,,1,0,0,0,0,
2024-12-14,2024,Drones,Drone Light Show,Rehearsal,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,China,China,,,0,0,0,0,0,
2024-10-20,2024,Extra 300,Sports Aero,Display,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Las Cruces,USA ,,General air show accident,1,0,0,0,0,
2024-10-14,2024,Parachutist,Parachutist,Parachuting,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,San Francisco,USA,,Spectator-related incident,0,0,0,0,0,
2024-10-05,2024,Fokker D.VIII replica,Vintage,Display,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Old Rhinebeck Airport,USA ,,Vintage aircraft vulnerability,0,1,0,0,0,
2024-10-05,2024,F-16,Fast jet,Display,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Adana,Turkiye,Near miss,Close-proximity flying,0,0,0,0,0,
2024-09-13,2024,L-39,Fast jet,Rehearsal,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,,Graf Ignatievo Air Base,Bulgaria,,Training-related accident,1,0,0,0,0,
2024-08-16,2024,Fouga Magister,Vintage,Display,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Le Lavandou,France,,General air show accident,1,0,0,0,0,
2024-07-12,2024,M-346,Fast jet,Rehearsal,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,Gdynia-Babie Doly,Poland,,Training-related accident,1,0,0,0,0,
2024-06-29,2024,F-18,Fast jet,Display,0,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Michigan ,USA,,Bird strike,0,0,1,0,0,
2024-06-15,2024,Lockheed 12A Electra Junior,Vintage,Takeoff,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,,Chino airport,USA ,,Vintage aircraft vulnerability,1,0,0,0,0,
